Date,Price
2025-02-09,92999
2025-02-13,92999
2025-02-17,92999
2025-02-18,92899
2025-02-20,92899
2025-02-23,92899
2025-02-27,92899
2025-03-02,92899
2025-03-06,92899
2025-03-10,92799
2025-03-14,92799
2025-03-17,92699
2025-03-19,92699
2025-03-23,92699
2025-03-25,92599
2025-03-26,89999
2025-03-29,89999
2025-04-01,85899
2025-04-02,85899
2025-04-08,85899
2025-04-09,85799
2025-04-10,84799
2025-04-14,84799
2025-04-15,84899
2025-04-17,84899
2025-04-18,84899
2025-04-19,84799
2025-04-20,84699
2025-04-21,84899
2025-04-24,84699
2025-04-25,84899
2025-04-26,84799
2025-04-28,84799
2025-05-01,79999
2025-05-02,79799
2025-05-04,79749
2025-05-06,79699
2025-05-07,79749
2025-05-10,79749
2025-05-20,92999
2025-05-25,92999
2025-05-29,92999
2025-06-01,92999
2025-06-04,92999
2025-06-09,80999
2025-06-11,80999
2025-06-12,80999
2025-06-15,80999
2025-06-20,80999
2025-06-24,79990
2025-06-25,79990
2025-06-29,79990
2025-07-03,77990
2025-07-04,77990
2025-07-08,77990
2025-07-12,77899
2025-07-13,77777
2025-07-14,77770
2025-07-16,77690
2025-07-17,77000
2025-07-19,76990
2025-07-20,76990
2025-07-23,89990
2025-07-24,88990
2025-07-25,87990
2025-07-27,80999
2025-07-29,65999
2025-08-02,60650
2025-08-03,61820
2025-08-05,80999
2025-08-08,87990
2025-08-14,63999
2025-08-16,63999
2025-08-19,70999
2025-08-20,70900
2025-08-23,73990
2025-08-26,73389
2025-08-30,65999
2025-09-04,72899
2025-09-05,73499
2025-09-07,72990
2025-09-10,72990
2025-09-11,72990
2025-09-12,72990
2025-09-16,69990
2025-09-18,69990
2025-09-23,74999
2025-09-25,74999
2025-09-26,74999
2025-09-27,62950
2025-09-28,61090
2025-09-29,63000
2025-10-01,63880
2025-10-02,63490
2025-10-05,63399
2025-10-07,62980
2025-10-11,62200
2025-10-14,61900
2025-10-16,61490
2025-10-20,60900
2025-10-25,61999
2025-10-27,61900
2025-11-03,80999
