Date,Positive_Reviews,Negative_Reviews,Top_Tags
2020-12-01,6,8,Hack and Slash|Action|RPG|Arcade|Co-op
2021-01-01,4,1,Hack and Slash|Action|RPG|Arcade|Co-op
2021-02-01,3,4,Hack and Slash|Action|RPG|Arcade|Co-op
2021-03-01,3,1,Hack and Slash|Action|RPG|Arcade|Co-op
2021-04-01,4,2,Hack and Slash|Action|RPG|Arcade|Co-op
2021-05-01,4,3,Hack and Slash|Action|RPG|Arcade|Co-op
2021-06-01,2,2,Hack and Slash|Action|RPG|Arcade|Co-op
2021-07-01,5,2,Hack and Slash|Action|RPG|Arcade|Co-op
2021-08-01,1,2,Hack and Slash|Action|RPG|Arcade|Co-op
2021-09-01,4,3,Hack and Slash|Action|RPG|Arcade|Co-op
2021-10-01,2,6,Hack and Slash|Action|RPG|Arcade|Co-op
2021-11-01,2,3,Hack and Slash|Action|RPG|Arcade|Co-op
2021-12-01,1,1,Hack and Slash|Action|RPG|Arcade|Co-op
2022-01-01,0,4,Hack and Slash|Action|RPG|Arcade|Co-op
2022-02-01,3,0,Hack and Slash|Action|RPG|Arcade|Co-op
2022-03-01,1,2,Hack and Slash|Action|RPG|Arcade|Co-op
2022-04-01,0,2,Hack and Slash|Action|RPG|Arcade|Co-op
2022-05-01,1,3,Hack and Slash|Action|RPG|Arcade|Co-op
2022-06-01,3,1,Hack and Slash|Action|RPG|Arcade|Co-op
2022-07-01,1,2,Hack and Slash|Action|RPG|Arcade|Co-op
2022-08-01,1,3,Hack and Slash|Action|RPG|Arcade|Co-op
2022-09-01,0,1,Hack and Slash|Action|RPG|Arcade|Co-op
2022-10-01,0,4,Hack and Slash|Action|RPG|Arcade|Co-op
2022-11-01,3,0,Hack and Slash|Action|RPG|Arcade|Co-op
2022-12-01,3,2,Hack and Slash|Action|RPG|Arcade|Co-op
2023-01-01,8,3,Hack and Slash|Action|RPG|Arcade|Co-op
2023-02-01,1,0,Hack and Slash|Action|RPG|Arcade|Co-op
2023-03-01,1,3,Hack and Slash|Action|RPG|Arcade|Co-op
2023-04-01,1,0,Hack and Slash|Action|RPG|Arcade|Co-op
2023-05-01,2,1,Hack and Slash|Action|RPG|Arcade|Co-op
2023-06-01,2,1,Hack and Slash|Action|RPG|Arcade|Co-op
2023-07-01,0,2,Hack and Slash|Action|RPG|Arcade|Co-op
2023-08-01,1,3,Hack and Slash|Action|RPG|Arcade|Co-op
2023-09-01,1,0,Hack and Slash|Action|RPG|Arcade|Co-op
2023-10-01,1,2,Hack and Slash|Action|RPG|Arcade|Co-op
2023-11-01,2,3,Hack and Slash|Action|RPG|Arcade|Co-op
2023-12-01,6,2,Hack and Slash|Action|RPG|Arcade|Co-op
2024-01-01,0,5,Hack and Slash|Action|RPG|Arcade|Co-op
2024-02-01,0,4,Hack and Slash|Action|RPG|Arcade|Co-op
2024-03-01,2,2,Hack and Slash|Action|RPG|Arcade|Co-op
2024-04-01,1,1,Hack and Slash|Action|RPG|Arcade|Co-op
2024-05-01,5,3,Hack and Slash|Action|RPG|Arcade|Co-op
2024-06-01,2,4,Hack and Slash|Action|RPG|Arcade|Co-op
2024-07-01,2,2,Hack and Slash|Action|RPG|Arcade|Co-op
2024-08-01,2,5,Hack and Slash|Action|RPG|Arcade|Co-op
2024-09-01,0,2,Hack and Slash|Action|RPG|Arcade|Co-op
2024-10-01,1,3,Hack and Slash|Action|RPG|Arcade|Co-op
