Date,Positive_Reviews,Negative_Reviews,Top_Tags
2022-08-01,4313,148,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2022-09-01,3215,86,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2022-10-01,3450,139,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2022-11-01,6837,201,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2022-12-01,6049,233,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2023-01-01,6757,232,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2023-02-01,4245,145,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2023-03-01,4548,179,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2023-04-01,3863,143,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2023-05-01,3123,130,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2023-06-01,3402,135,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2023-07-01,6940,247,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2023-08-01,4396,147,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2023-09-01,3630,151,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2023-10-01,3625,141,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2023-11-01,6852,232,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2023-12-01,5183,236,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2024-01-01,5680,236,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2024-02-01,3830,172,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2024-03-01,5041,247,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2024-04-01,4349,231,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2024-05-01,3869,181,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2024-06-01,4371,190,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2024-07-01,6863,361,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2024-08-01,4424,176,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2024-09-01,3621,175,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2024-10-01,3522,154,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2024-11-01,5231,237,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2024-12-01,6190,306,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2025-01-01,7332,403,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2025-02-01,4384,199,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2025-03-01,5147,252,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2025-04-01,5512,266,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2025-05-01,4744,216,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2025-06-01,4675,218,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2025-07-01,6426,332,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2025-08-01,10854,572,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2025-09-01,29850,1872,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2025-10-01,15223,619,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2025-11-01,12156,498,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2025-12-01,9226,421,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2026-01-01,9120,462,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2026-02-01,6171,266,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2026-03-01,5393,255,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2026-04-01,4313,188,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
