Date,Positive_Reviews,Negative_Reviews,Top_Tags
2017-07-01,0,15,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2017-08-01,2,18,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2017-09-01,1,9,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2017-10-01,4,20,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2017-11-01,6,15,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2017-12-01,0,14,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-01-01,2,20,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-02-01,1,16,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-03-01,3,11,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-04-01,2,13,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-05-01,10,16,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-06-01,2,11,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-07-01,7,21,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-08-01,1,9,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-09-01,6,18,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-10-01,3,11,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-11-01,0,20,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-12-01,3,8,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-01-01,2,19,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-02-01,1,9,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-03-01,5,9,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-04-01,3,5,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-05-01,2,12,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-06-01,7,14,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-07-01,7,18,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-08-01,2,14,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-09-01,1,14,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-10-01,3,9,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-11-01,4,12,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-12-01,3,21,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2020-01-01,2,15,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2020-02-01,3,10,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2020-03-01,2,13,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2020-04-01,2,21,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2020-05-01,4,24,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2020-06-01,0,18,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2020-07-01,4,15,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2020-08-01,4,30,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2020-09-01,3,15,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2020-10-01,6,10,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2020-11-01,5,17,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2020-12-01,6,36,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2021-01-01,21,38,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2021-02-01,8,17,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2021-03-01,7,34,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2021-04-01,3,13,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2021-05-01,9,33,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2021-06-01,3,18,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2021-07-01,13,27,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2021-08-01,2,21,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2021-09-01,5,20,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2021-10-01,3,10,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2021-11-01,9,34,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2021-12-01,7,25,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2022-01-01,8,33,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2022-02-01,6,13,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2022-03-01,6,16,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2022-04-01,2,12,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2022-05-01,1,9,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2022-06-01,4,26,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2022-07-01,9,18,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2022-08-01,7,14,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2022-09-01,8,19,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2022-10-01,7,22,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2022-11-01,7,16,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2022-12-01,6,21,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2023-01-01,9,15,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2023-02-01,1,16,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2023-03-01,3,11,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2023-04-01,1,16,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2023-05-01,4,6,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2023-06-01,5,18,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2023-07-01,3,17,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2023-08-01,8,18,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2023-09-01,5,13,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2023-10-01,10,21,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2023-11-01,2,12,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2023-12-01,7,14,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2024-01-01,9,11,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2024-02-01,2,12,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2024-03-01,7,21,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2024-04-01,7,23,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2024-05-01,7,15,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2024-06-01,8,19,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2024-07-01,8,17,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2024-08-01,8,32,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2024-09-01,5,26,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2024-10-01,7,19,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2024-11-01,10,22,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2024-12-01,6,17,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2025-01-01,10,30,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2025-02-01,2,24,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2025-03-01,10,35,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2025-04-01,9,20,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2025-05-01,4,27,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2025-06-01,8,20,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2025-07-01,6,21,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2025-08-01,8,17,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2025-09-01,7,12,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2025-10-01,4,15,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2025-11-01,4,26,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2025-12-01,7,33,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2026-01-01,7,24,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2026-02-01,6,13,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2026-03-01,10,35,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2026-04-01,2,23,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
