Date,Price
2025-12-15,41990
2025-12-17,41990
2025-12-18,42950
2025-12-20,42950
2025-12-21,42950
2025-12-22,42950
2025-12-23,42950
2025-12-24,42950
2025-12-25,42950
2025-12-26,42950
2025-12-27,42950
2025-12-28,42950
2025-12-29,42950
2025-12-31,42950
2026-01-01,33790
2026-01-02,33790
2026-01-03,33790
2026-01-05,33790
2026-01-06,33790
2026-01-07,39888
2026-01-08,39888
2026-01-09,39888
2026-01-10,39888
2026-01-11,39888
2026-01-14,40290
2026-01-15,40290
2026-01-17,39888
2026-01-19,39888
2026-01-20,39888
2026-01-22,39888
2026-01-23,39888
2026-01-25,39888
2026-01-26,40190
2026-01-27,40190
2026-01-29,40190
2026-01-30,40190
2026-02-01,40190
2026-02-03,40000
2026-02-05,40000
2026-02-08,40138
2026-02-10,45200
2026-02-11,45200
2026-02-16,45950
2026-02-20,42590
2026-02-21,39888
2026-02-23,39888
2026-02-25,42400
2026-02-28,42400
2026-03-02,42400
2026-03-06,42348
2026-03-08,42348
2026-03-09,42280
2026-03-14,39586
2026-03-15,39479
2026-03-18,40999
2026-03-22,39998
2026-03-25,41750
