Date,Price
2026-01-29,94990
2026-01-30,94990
2026-01-31,94990
2026-02-01,94990
2026-02-02,94990
2026-02-03,94990
2026-02-04,94990
2026-02-05,94990
2026-02-06,92990
2026-02-07,92990
2026-02-08,92990
2026-02-09,92990
2026-02-10,92199
2026-02-11,92199
2026-02-12,92199
2026-02-13,92199
2026-02-14,92199
2026-02-15,92199
2026-02-16,92899
2026-02-17,92899
2026-02-18,92699
2026-02-19,92699
2026-02-20,92699
2026-02-21,92699
2026-02-22,92699
2026-02-25,92699
2026-02-28,93990
2026-03-01,95990
2026-03-02,95990
2026-03-04,95990
2026-03-05,94249
2026-03-06,89990
2026-03-07,89990
2026-03-08,89990
2026-03-09,89990
2026-03-10,89990
2026-03-11,89990
2026-03-12,89990
2026-03-13,89990
2026-03-14,89990
2026-03-15,94990
2026-03-16,94990
2026-03-17,94990
2026-03-18,94990
2026-03-19,94990
2026-03-20,94249
2026-03-21,94249
2026-03-22,94249
2026-03-23,94249
2026-03-24,94249
2026-03-25,94249
2026-03-26,94249
